a_id;x_accel;y_accel;z_accel;timestamp
1;457;624;650;1466936003.2202303
1;104;192;708;1466936003.2406278
1;104;308;522;1466936003.26109
1;374;506;608;1466936003.28163
1;565;524;564;1466936003.3019106
1;718;572;510;1466936003.3225532
1;919;614;400;1466936003.3431938
1;920;678;344;1466936003.3638911
1;711;732;486;1466936003.384212
1;163;500;742;1466936003.4045823
1;104;194;602;1466936003.4246829
1;216;458;660;1466936003.4447255
1;482;488;584;1466936003.465036
1;690;538;462;1466936003.485407
1;851;550;392;1466936003.5058053
1;920;664;322;1466936003.5262432
1;893;782;504;1466936003.5468016
1;307;724;750;1466936003.5674446
1;104;114;646;1466936003.5881164
1;104;382;486;1466936003.608777
1;383;494;662;1466936003.6294203
1;532;484;554;1466936003.649706
1;726;514;404;1466936003.6700063
1;919;598;360;1466936003.6902826
1;879;664;472;1466936003.710591
1;397;602;690;1466936003.730998
1;104;142;610;1466936003.751492
1;105;402;480;1466936003.771872
1;401;490;606;1466936003.792524
1;554;494;540;1466936003.8132186
1;708;534;440;1466936003.833705
1;919;586;392;1466936003.8544767
1;843;702;502;1466936003.8745866
1;361;632;714;1466936003.894667
1;104;118;630;1466936003.914845
1;104;398;430;1466936003.9351263
1;394;504;630;1466936003.955252
1;566;496;570;1466936003.9756622
1;756;560;448;1466936003.9959414
1;920;608;398;1466936004.0164173
1;886;680;432;1466936004.0369298
1;511;674;644;1466936004.057417
1;104;212;660;1466936004.077804
1;104;250;418;1466936004.098255
1;311;524;634;1466936004.1190665
1;529;498;604;1466936004.1396508
1;755;528;436;1466936004.1597695
1;920;622;406;1466936004.179822
1;825;692;492;1466936004.2001638
1;343;596;712;1466936004.2205448
1;104;158;576;1466936004.2406986
1;104;338;452;1466936004.2610106
1;352;498;588;1466936004.2814326
1;484;498;582;1466936004.3019962
1;673;558;514;1466936004.3224783
1;917;580;422;1466936004.343083
1;920;660;372;1466936004.3635204
1;654;720;582;1466936004.3837862
1;107;366;754;1466936004.404733
1;104;234;428;1466936004.424843
1;315;532;616;1466936004.4451573
1;517;516;580;1466936004.4655056
1;680;544;450;1466936004.4858243
1;888;564;402;1466936004.5062718
1;920;664;380;1466936004.526768
1;734;726;574;1466936004.5473902
1;133;454;728;1466936004.5680735
1;104;114;518;1466936004.5884311
1;215;472;508;1466936004.6087153
1;465;480;592;1466936004.6291635
1;617;524;502;1466936004.649467
1;917;576;426;1466936004.6697373
1;826;684;506;1466936004.6898875
1;440;642;668;1466936004.7102249
1;104;192;568;1466936004.7305439
1;104;258;426;1466936004.7509248
1;274;496;564;1466936004.771235
1;450;498;586;1466936004.7917218
1;678;562;490;1466936004.8120763
1;919;596;450;1466936004.8326685
1;864;634;434;1466936004.853211
1;559;628;602;1466936004.873697
1;104;266;594;1466936004.8938339
1;104;190;462;1466936004.9143653
1;234;506;564;1466936004.9345741
1;490;514;590;1466936004.9547129
1;728;546;484;1466936004.974888
1;917;586;410;1466936004.9952397
1;886;670;480;1466936005.0156057
1;535;672;660;1466936005.0359588
1;104;244;592;1466936005.0564065
1;104;182;398;1466936005.0769417
1;243;510;578;1466936005.0973706
1;415;526;580;1466936005.117868
1;551;528;580;1466936005.1382594
1;836;546;438;1466936005.1592457
1;920;638;392;1466936005.1795774
1;678;676;572;1466936005.1997368
1;202;478;670;1466936005.2197852
1;104;104;488;1466936005.239989
1;114;472;514;1466936005.2603397
1;379;514;634;1466936005.2807167
1;527;506;586;1466936005.3011968
1;792;562;416;1466936005.32175
1;920;636;390;1466936005.3423812
1;852;686;470;1466936005.3631063
1;455;640;682;1466936005.3837986
1;104;200;628;1466936005.4045732
1;104;298;462;1466936005.4247253
1;305;506;636;1466936005.4447665
1;459;496;580;1466936005.4649737
1;675;566;416;1466936005.4853175
1;918;590;370;1466936005.5055575
1;920;656;386;1466936005.5258462
1;683;710;596;1466936005.5462658
1;106;388;722;1466936005.5668015
1;104;146;498;1466936005.587438
1;193;508;608;1466936005.60784
1;390;488;612;1466936005.6282434
1;475;480;540;1466936005.6489234
1;754;552;396;1466936005.6695793
1;920;654;354;1466936005.689927
1;797;686;496;1466936005.710175
1;321;602;722;1466936005.7305534
1;104;118;568;1466936005.750854
1;104;422;508;1466936005.7711933
1;354;486;642;1466936005.7917054
1;424;458;562;1466936005.812284
1;640;592;424;1466936005.8329725
1;919;648;420;1466936005.8534837
1;920;720;388;1466936005.8744478
1;668;770;560;1466936005.8946657
1;104;230;712;1466936005.9147625
1;104;206;458;1466936005.935128
1;268;542;614;1466936005.9554996
1;371;476;572;1466936005.9758282
1;470;496;516;1466936005.9962225
1;671;648;410;1466936006.0166228
1;920;654;444;1466936006.0370054
1;920;770;416;1466936006.0574405
1;711;916;548;1466936006.0777335
1;238;822;480;1466936006.0983322
1;104;150;668;1466936006.1190794
2;525;526;612;1466951568.0479102
2;513;514;622;1466951568.0680246
2;507;510;634;1466951568.0880802
2;541;514;630;1466951568.108329
2;522;506;686;1466951568.1287372
2;496;512;726;1466951568.1490083
2;468;524;792;1466951568.1694422
2;520;568;806;1466951568.189659
2;543;610;768;1466951568.2101612
2;557;636;698;1466951568.2306406
2;589;568;516;1466951568.2513287
2;547;460;420;1466951568.2716525
2;453;440;468;1466951568.292045
2;491;470;422;1466951568.3129885
2;515;506;354;1466951568.3331861
2;482;502;324;1466951568.3534188
2;474;498;316;1466951568.3737993
2;500;504;320;1466951568.3942416
2;524;510;320;1466951568.414668
2;524;508;292;1466951568.4350193
2;508;552;308;1466951568.4555106
2;548;666;358;1466951568.476029
2;541;750;550;1466951568.4963965
2;516;702;770;1466951568.5165465
2;594;638;802;1466951568.537227
2;573;592;852;1466951568.5578446
2;511;572;728;1466951568.5780146
2;575;566;624;1466951568.5981674
2;558;548;680;1466951568.6184947
2;491;514;710;1466951568.6387417
2;514;522;678;1466951568.6589754
2;536;528;632;1466951568.6794214
2;514;522;650;1466951568.699883
2;505;518;734;1466951568.720265
2;473;530;834;1466951568.7404785
2;477;590;848;1466951568.760977
2;510;662;844;1466951568.7813575
2;538;710;730;1466951568.8020911
2;632;654;480;1466951568.8229246
2;541;494;362;1466951568.8430665
2;478;466;462;1466951568.8632874
2;494;484;504;1466951568.8834865
2;541;494;380;1466951568.9037313
2;497;440;340;1466951568.9238737
2;442;448;406;1466951568.9439867
2;511;470;420;1466951568.9641728
2;502;460;430;1466951568.9844506
2;477;446;428;1466951569.0045974
